STEM,ORIGINAL,TRANSLATED,VALENCE,AROUSAL,DOMINANCE
сержант,sergeant,сержант,0.408,0.600,0.833
сериализац,serialize,сериализации,0.500,0.455,0.593
засечк,serif,засечка,0.531,0.417,0.415
проповед,sermon,проповедь,0.417,0.507,0.615
зме,serpent,змей,0.115,0.696,0.679
змеевик,serpentine,змеевик,0.576,0.646,0.329
сыворотк,serum,сыворотка,0.520,0.231,0.443
служа,servant,служащий,0.340,0.408,0.331
обслужива,serve,обслуживать,0.622,0.400,0.384
сервер,server,сервер,0.656,0.356,0.536
оказание услуг,service,оказание услуг,0.684,0.408,0.535
исправн,serviceable,исправный,0.834,0.400,0.684
холопск,servile,холопский,0.439,0.327,0.415
кунжут,sesame,кунжут,0.673,0.250,0.382
сесс,session,сессия,0.510,0.481,0.491
задава,set,задавать,0.521,0.482,0.630
сеттер,setter,сеттер,0.541,0.455,0.473
поселок,settlement,поселок,0.635,0.412,0.723
отстойник,settler,отстойник,0.573,0.453,0.519
доверител,settlor,доверитель,0.531,0.434,0.534
настро,setup,настроить,0.667,0.398,0.635
семнадца,seventeen,семнадцать,0.585,0.296,0.321
седьм,seventh,седьмой,0.500,0.245,0.288
семьдес,seventy,семьдесят,0.625,0.353,0.446
разрыва,sever,разрывать,0.156,0.635,0.451
шит,sew,шить,0.510,0.340,0.340
сточная вод,sewage,сточная вода,0.255,0.343,0.339
сточная труб,sewer,сточная труба,0.286,0.367,0.282
канализац,sewerage,канализация,0.208,0.450,0.198
секс,sex,секс,0.803,0.939,0.704
женофоб,sexist,женофоб,0.255,0.798,0.411
полов,sexual,половой,0.584,0.959,0.640
сексуальн,sexuality,сексуальность,0.670,0.898,0.657
дужк,shackle,дужка,0.276,0.580,0.414
тен,shade,тень,0.388,0.265,0.278
оттенк,shades,оттенков,0.490,0.300,0.380
затенен,shading,затенение,0.420,0.324,0.318
вал,shaft,вал,0.549,0.275,0.472
махорк,shag,махорка,0.417,0.462,0.340
мохнат,shaggy,мохнатый,0.510,0.302,0.321
встряхива,shake,встряхивать,0.439,0.689,0.539
шейкер,shaker,шейкер,0.520,0.728,0.518
шама,shaman,шаман,0.490,0.531,0.604
позор,shame,позор,0.060,0.670,0.155
пристыжен,shamed,пристыженный,0.135,0.567,0.218
бесстыдн,shameless,бесстыдный,0.274,0.713,0.407
шампун,shampoo,шампунь,0.604,0.180,0.250
шанха,shanghai,Шанхай,0.551,0.450,0.509
хвостовик,shank,хвостовик,0.530,0.393,0.286
стройн,shapely,стройный,0.771,0.441,0.830
осколок,shard,осколок,0.388,0.407,0.426
акционер,shareholder,акционер,0.656,0.632,0.915
акул,shark,акула,0.260,0.845,0.596
заточ,sharpened,заточены,0.573,0.647,0.727
точилк,sharpener,точилка,0.532,0.435,0.327
раздроб,shatter,раздробить,0.108,0.821,0.464
сокрушительн,shattering,сокрушительный,0.135,0.760,0.475
брит,shave,брить,0.521,0.410,0.480
пучок,sheaf,пучок,0.396,0.387,0.456
сдвиг,shear,сдвиг,0.286,0.647,0.388
обшивк,sheathing,обшивка,0.378,0.480,0.642
овчарк,sheepdog,овчарка,0.684,0.442,0.529
глуповат,sheepish,глуповатый,0.326,0.441,0.205
отвесн,sheer,отвесный,0.604,0.250,0.481
шейх,sheik,шейх,0.521,0.579,0.708
оболочк,shell,оболочка,0.615,0.408,0.391
артобстрел,shelling,артобстрел,0.337,0.917,0.773
приют,shelters,приюты,0.582,0.333,0.482
сукн,shelved,сукно,0.306,0.166,0.321
шербет,sherbet,шербет,0.592,0.363,0.348
шериф,sheriff,шериф,0.602,0.541,0.802
шерр,sherry,шерри,0.594,0.477,0.315
щит,shield,щит,0.510,0.373,0.663
переключен,shifting,переключение,0.518,0.548,0.546
шимм,shimmy,шимми,0.478,0.476,0.462
голен,shin,голень,0.459,0.500,0.231
шумная вечеринк,shindig,шумная вечеринка,0.552,0.560,0.491
корабл,ship,корабль,0.646,0.500,0.439
отгрузк,shipment,отгрузка,0.582,0.440,0.452
перевозк,shipping,Перевозка,0.622,0.327,0.443
в полном порядк,shipshape,в полном порядке,0.594,0.480,0.474
кораблекрушен,shipwreck,кораблекрушение,0.268,0.768,0.373
верф,shipyard,верфь,0.398,0.583,0.595
графств,shire,графство,0.479,0.257,0.609
рубашк,shirt,Рубашка,0.698,0.186,0.231
shitfaced,shitfaced,shitfaced,0.214,0.695,0.380
говнюк,shithead,говнюк,0.120,0.645,0.302
до смерт,shitless,до смерти,0.271,0.545,0.333
ху,shitload,хуя,0.020,0.606,0.161
сран,shitty,сраный,0.020,0.679,0.163
дрожан,shivering,Дрожание,0.122,0.663,0.373
косяк,shoals,косяки,0.396,0.408,0.375
шок,shock,шок,0.286,0.821,0.453
в шок,shocked,в шоке,0.292,0.773,0.375
бульварный рома,shocker,бульварный роман,0.235,0.804,0.616
потрясающ,shockingly,потрясающе,0.510,0.924,0.721
башмак,shoe,башмак,0.517,0.225,0.288
шнурк,shoelace,шнурки,0.396,0.280,0.307
чистка обув,shoeshine,чистка обуви,0.392,0.387,0.325
встряхнул,shook,встряхнул,0.163,0.759,0.509
стреля,shoot,стрелять,0.092,0.926,0.625
стрельб,shooting,стрельба,0.276,0.931,0.602
магазин,shop,магазин,0.725,0.632,0.565
магазинный вор,shoplifter,магазинный вор,0.167,0.830,0.500
воровство в магазин,shoplifting,воровство в магазинах,0.152,0.833,0.441
поход по магазин,shopping,поход по магазинам,0.915,0.445,0.630
стрижен,shorn,стриженый,0.396,0.415,0.400
коротк,short,короткая,0.184,0.264,0.237
короткий рассказ,short story,короткий рассказ,0.697,0.321,0.348
нехватк,shortage,нехватка,0.094,0.455,0.198
песочное печен,shortcake,песочное печенье,0.677,0.359,0.398
укорачива,shorten,укорачивать,0.302,0.382,0.460
укорачиван,shortening,укорачивание,0.286,0.333,0.385
стенограф,shorthand,стенография,0.459,0.450,0.461
вскор,shortly,вскоре,0.582,0.310,0.360
шорт,shorts,шорты,0.622,0.481,0.287
коротковолнов,shortwave,коротковолновый,0.460,0.271,0.368
выстрел,shot,выстрел,0.144,0.750,0.569
дробовик,shotgun,дробовик,0.200,0.868,0.684
плеч,shoulder,плечо,0.562,0.286,0.406
окрик,shout,окрик,0.229,0.925,0.444
лопат,shovel,лопата,0.427,0.308,0.267
показа,show,показать,0.673,0.771,0.719
шоу-бизнес,showbiz,Шоу-бизнес,0.661,0.713,0.598
важнича,showboat,важничать,0.618,0.625,0.509
витрин,showcase,витрина,0.521,0.255,0.415
разборок,showdown,разборок,0.302,0.950,0.692
статистк,showgirl,статистка,0.633,0.694,0.481
показ,showing,показ,0.622,0.540,0.491
выпендрива,showoff,выпендриваться,0.344,0.598,0.463
выставочный за,showroom,выставочный зал,0.740,0.441,0.536
эффектн,showy,эффектный,0.698,0.657,0.661
шрапнел,shrapnel,шрапнель,0.240,0.740,0.681
шинкова,shred,шинковать,0.224,0.750,0.627
землеройк,shrew,землеройка,0.306,0.463,0.390
святын,shrine,святыня,0.802,0.255,0.574
высыха,shrivel,высыхать,0.160,0.409,0.143
кустарник,shrub,кустарник,0.531,0.340,0.340
пожимание плеч,shrug,пожимание плечами,0.208,0.296,0.278
сжавш,shrunk,сжавшийся,0.163,0.354,0.218
сморщен,shrunken,сморщенный,0.500,0.373,0.221
содрога,shudder,содрогаться,0.344,0.791,0.559
шаркан,shuffle,шарканье,0.459,0.450,0.556
шаффлборд,shuffleboard,шаффлборд,0.531,0.459,0.377
гнуша,shun,гнушаться,0.418,0.604,0.389
шунт,shunt,шунт,0.312,0.500,0.470
затвор,shutter,затвор,0.191,0.380,0.482
челнок,shuttle,челнок,0.531,0.591,0.547
стряпчий по темным дел,shyster,стряпчий по темным делам,0.292,0.567,0.424
родной брат,sibling,родной брат,0.857,0.340,0.636
так,sic,так,0.370,0.459,0.380
пресыт,sicken,пресытиться,0.051,0.500,0.294
серп,sickle,серп,0.427,0.585,0.370
боковая сторон,side,боковая сторона,0.439,0.288,0.395
боковая панел,sidebar,боковая панель,0.469,0.364,0.405
сервант,sideboard,сервант,0.590,0.259,0.426
бачк,sideburns,бачки,0.777,0.327,0.308
коляска мотоцикл,sidecar,коляска мотоцикла,0.552,0.449,0.500
кореш,sidekick,кореш,0.602,0.439,0.509
боковая лин,sideline,боковая линия,0.440,0.382,0.517
интермед,sideshow,интермедия,0.458,0.594,0.658
тротуар,sidewalk,тротуар,0.479,0.192,0.348
вбок,sideways,вбок,0.788,0.245,0.291
удар сбок,sidewinder,удар сбоку,0.500,0.500,0.439
осад,siege,осада,0.271,0.750,0.567
сиест,siesta,сиеста,0.740,0.046,0.295
сит,sieve,сито,0.459,0.250,0.333
просея,sift,просеять,0.542,0.412,0.461
просеиван,sifting,просеивание,0.571,0.469,0.474
вздох,sigh,вздох,0.469,0.387,0.273
визирован,sighting,визирование,0.582,0.560,0.627
осмотр достопримечательн,sightseeing,осмотр достопримечательностей,0.875,0.552,0.697
сигм,sigma,сигма,0.490,0.472,0.535
сигна,signal,сигнал,0.615,0.417,0.464
значен,significance,значение,0.820,0.460,0.644
указательный столб,signpost,указательный столб,0.510,0.400,0.446
бесшумн,silent,бесшумный,0.469,0.125,0.280
молч,silently,молча,0.448,0.185,0.306
силуэт,silhouette,силуэт,0.582,0.410,0.288
кремн,silicon,кремний,0.439,0.448,0.445
силиконов,silicone,силиконовый,0.480,0.340,0.333
шелк,silk,шелк,0.760,0.115,0.300
вкрадчив,silken,вкрадчивый,0.730,0.265,0.394
шелковист,silky,шелковистый,0.802,0.397,0.271
подоконник,sill,подоконник,0.433,0.375,0.324
глупост,silliness,глупость,0.327,0.368,0.192
силос,silo,силос,0.400,0.365,0.357
ил,silt,ил,0.510,0.269,0.200
серебрян,silver,Серебряный,0.684,0.451,0.615
столовое серебр,silverware,столовое серебро,0.663,0.365,0.409
серебрист,silvery,серебристый,0.543,0.460,0.517
кипятить на медленном огн,simmer,кипятить на медленном огне,0.650,0.293,0.393
прост,simple,просто,0.653,0.130,0.314
простак,simpleton,простак,0.429,0.144,0.358
простот,simplicity,простота,0.667,0.250,0.337
упроща,simplify,упрощать,0.565,0.347,0.602
упрощен,simplistic,упрощенный,0.490,0.245,0.391
моделирова,simulate,моделировать,0.551,0.375,0.417
имитатор,simulator,имитатор,0.677,0.559,0.583
искрен,sincere,искренний,0.918,0.265,0.725
грешн,sinful,грешный,0.143,0.788,0.417
пет,sing,петь,0.858,0.606,0.420
певец,singer,певец,0.802,0.735,0.628
единственное числ,singular,единственное число,0.610,0.302,0.482
зловещ,sinister,зловещий,0.125,0.896,0.581
груз,sinker,грузило,0.302,0.557,0.538
тонущ,sinking,тонущий,0.135,0.439,0.342
грешник,sinner,грешник,0.237,0.667,0.356
греш,sinning,грешить,0.170,0.700,0.422
пазух,sinus,пазуха,0.531,0.563,0.340
сифон,siphon,сифон,0.354,0.333,0.435
потягив,sipping,потягивая,0.469,0.349,0.377
сэр,sir,сэр,0.622,0.306,0.778
сир,sire,сир,0.854,0.452,0.808
неженк,sissy,неженка,0.333,0.562,0.232
сестр,sister,сестра,0.916,0.324,0.562
сестринская общин,sisterhood,сестринская община,0.837,0.415,0.696
сидет,sit,сидеть,0.561,0.230,0.368
комедия положен,sitcom,комедия положений,0.562,0.537,0.407
сайт,site,сайт,0.677,0.265,0.452
Sith,sith,Sith,0.439,0.564,0.373
приходящая нян,sitter,приходящая няня,0.656,0.429,0.404
сидя,sitting,сидящий,0.561,0.146,0.353
ситуац,situation,ситуация,0.531,0.387,0.600
шест,six,шесть,0.500,0.154,0.271
сумма в 6 пенс,sixpence,сумма в 6 пенсов,0.469,0.417,0.463
шестнадца,sixteen,шестнадцать,0.583,0.290,0.324
шестьдес,sixty,шестьдесят,0.694,0.240,0.433
кататься на коньк,skate,кататься на коньках,0.740,0.653,0.508
скейтборд,skateboard,скейтборд,0.677,0.550,0.353
конькобежец,skater,конькобежец,0.633,0.774,0.652
катание на коньк,skating,катание на коньках,0.745,0.673,0.435
драпан,skedaddle,драпанье,0.427,0.596,0.422
гитерс,skeet,гитерс,0.469,0.549,0.413
неразберих,skein,неразбериха,0.449,0.372,0.287
скелетн,skeletal,скелетный,0.306,0.558,0.318
скептик,skeptic,скептик,0.135,0.440,0.500
эскиз,sketch,эскиз,0.704,0.276,0.420
зарисовк,sketching,зарисовка,0.729,0.327,0.400
отрывочн,sketchy,отрывочный,0.333,0.479,0.241
перекос,skewed,перекос,0.340,0.480,0.361
вертел,skewer,вертел,0.470,0.365,0.457
лыж,ski,лыжа,0.684,0.670,0.471
занос,skid,занос,0.357,0.640,0.440
лыжник,skier,лыжник,0.802,0.788,0.639
скиф,skiff,скиф,0.479,0.375,0.472
горнолыжный спорт,skiing,горнолыжный спорт,0.823,0.824,0.620
сковород,skillet,сковорода,0.510,0.296,0.345
шкипер,skipper,шкипер,0.440,0.577,0.692
юбк,skirt,юбка,0.602,0.463,0.226
капустник,skit,капустник,0.438,0.434,0.421
скунс,skunk,скунс,0.284,0.491,0.380
небесный свет,skylight,Небесный свет,0.708,0.314,0.343
линия горизонт,skyline,линия горизонта,0.592,0.412,0.662
небоскреб,skyscraper,небоскреб,0.622,0.696,0.798
горбыл,slab,горбыль,0.398,0.265,0.264
слабин,slack,слабина,0.521,0.283,0.446
шлак,slag,шлак,0.266,0.600,0.254
каталажк,slammer,каталажка,0.417,0.565,0.391
клевет,slander,клевета,0.184,0.604,0.454
сленг,slang,сленг,0.479,0.418,0.491
пощечин,slap,пощечина,0.100,0.804,0.518
слэш,slash,слэш,0.260,0.500,0.509
шифер,slate,шифер,0.531,0.283,0.431
сланц,slates,сланцы,0.500,0.270,0.342
убой скот,slaughter,убой скота,0.052,0.953,0.602
скотобойн,slaughterhouse,скотобойня,0.146,0.794,0.472
заб,slaughtering,забой,0.133,0.947,0.714
рабын,slave,рабыня,0.171,0.795,0.151
рабств,slavery,рабство,0.052,0.783,0.218
сража,slay,сражать,0.133,0.920,0.585
дешевк,sleaze,дешевка,0.312,0.538,0.405
катание на сан,sledding,катание на санях,0.625,0.547,0.422
салазк,sledge,салазки,0.646,0.500,0.361
кувалд,sledgehammer,кувалда,0.449,0.479,0.482
спат,sleep,спать,0.719,0.090,0.339
шпал,sleeper,шпала,0.640,0.154,0.254
бессон,sleepless,бессонный,0.213,0.410,0.207
ночевк,sleepover,ночевка,0.815,0.519,0.340
дождь со снег,sleet,дождь со снегом,0.410,0.355,0.395
рука,sleeve,рукав,0.531,0.270,0.273
безрукавн,sleeveless,безрукавный,0.638,0.290,0.200
санк,sleigh,санки,0.742,0.551,0.396
сыщик,sleuth,сыщик,0.460,0.633,0.676
скользк,slick,скользкий,0.388,0.383,0.349
дождевик,slicker,дождевик,0.727,0.387,0.519
горк,slide,горка,0.615,0.435,0.432
ползунок,slider,ползунок,0.585,0.491,0.518
легкое ожидан,slight anticipation,легкое ожидание,0.562,0.490,0.445
легкое отвращен,slight disgust,легкое отвращение,0.156,0.578,0.318
небольшой сюрприз,slight surprise,небольшой сюрприз,0.677,0.746,0.557
небольшое довер,slight trust,небольшое доверие,0.306,0.400,0.245
слегка отрицательн,slightly negative,слегка отрицательный,0.190,0.472,0.259
слегка положительн,slightly positive,слегка положительный,0.792,0.480,0.567
строп,sling,строп,0.417,0.423,0.404
рогатк,slingshot,рогатка,0.323,0.654,0.474
недоносок,slink,недоносок,0.460,0.546,0.314
облега,slinky,облегающий,0.400,0.637,0.603
слип,slip,слип,0.316,0.714,0.321
тапочк,slipper,тапочка,0.635,0.298,0.245
домашние тапочк,slippers,домашние тапочки,0.573,0.413,0.236
щел,slit,щель,0.406,0.490,0.366
откалыва,sliver,откалываться,0.388,0.347,0.291
нерях,slob,неряха,0.275,0.365,0.300
лозунг,slogan,лозунг,0.550,0.216,0.564
шлюп,sloop,шлюп,0.480,0.375,0.380
слот,slot,слот,0.469,0.337,0.337
леност,sloth,леность,0.198,0.140,0.125
сутул,slouch,сутулость,0.365,0.450,0.328
вспучива,slough,вспучиваться,0.265,0.390,0.200
медлен,slow,медленный,0.357,0.073,0.131
медлительн,slowness,медлительность,0.302,0.212,0.191
слизен,slug,слизень,0.276,0.370,0.160
отбива,slugger,отбивающего,0.458,0.500,0.518
водовод,sluice,водовод,0.427,0.520,0.365
трущоб,slum,трущобы,0.292,0.528,0.302
дремот,slumber,дремота,0.592,0.191,0.426
резкое паден,slump,резкое падение,0.194,0.438,0.130
марашк,slur,марашка,0.115,0.814,0.427
чавка,slurp,чавкать,0.540,0.528,0.411
слякот,slush,слякоть,0.427,0.283,0.296
шлюх,slut,шлюха,0.071,0.808,0.309
распутн,slutty,распутная,0.224,0.810,0.371
лукав,sly,лукавый,0.573,0.690,0.750
наименьш,smallest,наименьшее,0.281,0.340,0.129
осп,smallpox,оспа,0.156,0.583,0.222
прихорашива,smarten,прихорашиваться,0.602,0.490,0.551
гром,smash,громить,0.195,0.692,0.530
разб,smashed,разбили,0.143,0.660,0.256
поверхностное знан,smattering,поверхностное знание,0.448,0.460,0.500
обонян,smelling,обоняние,0.458,0.481,0.349
вонюч,smelly,вонючий,0.100,0.528,0.245
улыбк,smile,улыбка,0.906,0.598,0.618
улыбнул,smiled,Улыбнулся,0.949,0.530,0.536
смайлик,smiley,смайлик,0.865,0.470,0.571
улыба,smiling,улыбается,0.981,0.679,0.625
ухмылк,smirk,ухмылка,0.792,0.596,0.583
ударя,smite,ударять,0.303,0.846,0.682
черепк,smithereens,черепки,0.281,0.561,0.409
толстовк,smock,толстовка,0.429,0.250,0.250
смог,smog,смог,0.271,0.480,0.382
курильщик,smoker,курильщик,0.208,0.528,0.311
курен,smoking,курение,0.176,0.557,0.384
тлеющ,smoldering,тлеющий,0.635,0.781,0.764
лиза,smooch,лизаться,0.796,0.731,0.491
льстец,smoothie,льстец,0.806,0.333,0.281
маза,smudge,мазаться,0.327,0.429,0.245
провоз,smuggle,провозить,0.194,0.775,0.570
головн,smut,головня,0.357,0.360,0.349
загвоздк,snag,загвоздка,0.417,0.250,0.339
улитк,snail,улитка,0.480,0.104,0.296
змеиная кож,snakeskin,змеиная кожа,0.276,0.696,0.391
дночерпател,snapper,дночерпатель,0.417,0.429,0.245
снимок,snapshot,снимок,0.573,0.578,0.588
огрыза,snarl,огрызаться,0.430,0.787,0.455
урва,snatch,урвать,0.219,0.861,0.691
броск,snazzy,броский,0.735,0.370,0.660
ябед,sneak,ябеда,0.281,0.745,0.449
кроссовок,sneaker,кроссовок,0.794,0.479,0.389
кроссовк,sneakers,кроссовки,0.604,0.548,0.349
насмешк,sneer,насмешка,0.133,0.755,0.345
чиха,sneeze,чихать,0.271,0.442,0.336
чихан,sneezing,чихание,0.434,0.570,0.345
ржан,snicker,ржание,0.708,0.693,0.409
ехидн,snide,ехидный,0.186,0.723,0.455
сопен,sniff,сопение,0.396,0.500,0.318
бекас,snipe,бекас,0.198,0.915,0.491
снайпер,sniper,снайпер,0.167,0.870,0.853
отрывок,snippet,отрывок,0.612,0.410,0.368
сноб,snob,сноб,0.296,0.520,0.309
шпион,snoop,шпионить,0.134,0.740,0.434
выслежива,snoopy,выслеживающий,0.573,0.534,0.291
храп,snore,храп,0.245,0.610,0.481
шноркел,snorkel,шноркель,0.510,0.470,0.327
фыркан,snort,фырканье,0.469,0.531,0.413
соплив,snotty,сопливый,0.180,0.382,0.200
рыл,snout,рыло,0.276,0.385,0.241
снег,snow,снег,0.667,0.363,0.309
снежный шар,snowball,снежный шар,0.717,0.444,0.321
сноуборд,snowboard,сноуборд,0.663,0.680,0.511
сноубордист,snowboarder,сноубордист,0.719,0.754,0.545
снежный ден,snowday,снежный день,0.602,0.500,0.440
снегопад,snowfall,снегопад,0.675,0.280,0.455
снежинк,snowflake,снежинка,0.748,0.192,0.260
идет снег,snowing,идет снег,0.586,0.490,0.387
snowmageddon,snowmageddon,snowmageddon,0.375,0.575,0.472
снеговик,snowman,Снеговик,0.776,0.291,0.323
снегоочистител,snowplow,снегоочиститель,0.449,0.480,0.493
снежн,snowy,снежно,0.656,0.304,0.357
курнос,snub,курносый,0.229,0.412,0.228
нюхательный табак,snuff,нюхательный табак,0.357,0.470,0.377
прильнут,snuggle,прильнуть,0.781,0.390,0.350
прижим,snuggling,прижимаясь,0.683,0.585,0.373
впитыва,soak,впитывать,0.480,0.370,0.240
мочен,soaked,моченый,0.365,0.462,0.358
намокан,soaking,намокание,0.438,0.324,0.375
мыл,soap,мыло,0.531,0.163,0.311
импровизированная трибун,soapbox,импровизированная трибуна,0.500,0.415,0.393
мыльн,soapy,мыльный,0.552,0.373,0.355
вита,soar,витать,0.790,0.740,0.718
паря,soaring,парящий,0.708,0.704,0.650
трезв,sober,трезвый,0.729,0.216,0.568
трезвост,sobriety,трезвость,0.680,0.310,0.583
Soc,soc,Soc,0.427,0.431,0.380
футбольн,soccer,футбольный,0.698,0.837,0.644
общительн,sociable,общительный,0.854,0.459,0.627
социальн,social,Социальное,0.806,0.370,0.614
социализм,socialism,социализм,0.510,0.500,0.560
социалист,socialist,социалист,0.448,0.400,0.543
обществ,society,общество,0.674,0.464,0.782
социолог,sociology,социология,0.615,0.439,0.694
социопат,sociopath,социопат,0.104,0.863,0.439
носок,sock,носок,0.500,0.167,0.290
дерн,sod,дерн,0.427,0.383,0.333
сод,soda,сода,0.688,0.314,0.364
содовая вод,soda/pop,содовая вода,0.581,0.410,0.382
натр,sodium,натрий,0.490,0.340,0.291
софтбол,softball,софтбол,0.735,0.630,0.518
смягчител,softener,смягчитель,0.745,0.300,0.373
размягчен,softening,размягчение,0.700,0.255,0.361
программного обеспечен,software,программного обеспечения,0.561,0.280,0.570
нудн,soggy,нудный,0.312,0.350,0.241
так счастл,sohappy,так счастлив,0.949,0.673,0.681
почв,soil,почва,0.350,0.180,0.356
испачка,soiled,испачканный,0.106,0.529,0.213
временное пребыван,sojourn,временное пребывание,0.514,0.243,0.509
солнечн,solar,солнечный,0.622,0.452,0.645
соляр,solarium,солярий,0.602,0.356,0.421
прип,solder,припой,0.439,0.510,0.611
пая,soldering,паять,0.573,0.536,0.538
солдат,soldier,солдат,0.392,0.708,0.768
единствен,sole,единственный,0.427,0.194,0.279
торжествен,solemn,торжественный,0.708,0.370,0.709
выпрашива,solicit,выпрашивать,0.620,0.490,0.604
стряпч,solicitor,стряпчий,0.600,0.479,0.802
солидарн,solidarity,солидарность,0.792,0.407,0.781
затвердеван,solidification,затвердевание,0.480,0.500,0.827
затвердева,solidified,затвердевает,0.633,0.415,0.745
основательн,solidity,основательность,0.745,0.444,0.850
пасьянс,solitaire,пасьянс,0.365,0.227,0.279
сол,solo,соло,0.438,0.190,0.325
растворим,solubility,растворимость,0.506,0.360,0.442
так повезл,solucky,так повезло,0.573,0.529,0.615
кредитоспособн,solvency,кредитоспособность,0.604,0.296,0.605
растворител,solvent,растворитель,0.635,0.316,0.573
соматическ,somatic,соматический,0.438,0.406,0.444
некоторое ожидан,some anticipation,некоторое ожидание,0.423,0.482,0.472
некоторое довер,some trust,некоторое доверие,0.594,0.451,0.547
кувырка,somersault,кувыркаться,0.214,0.769,0.519
несколько отрицательн,somewhat negative,несколько отрицательный,0.208,0.480,0.150
несколько положительн,somewhat positive,несколько положительный,0.920,0.510,0.667
сын,son,сын,0.792,0.365,0.528
сонар,sonar,сонар,0.541,0.480,0.414
сонат,sonata,соната,0.643,0.406,0.425
песн,song,песня,0.854,0.413,0.500
песенник,songwriter,песенник,0.844,0.558,0.713
звуков,sonic,звуковой,0.594,0.500,0.481
сонет,sonnet,сонет,0.718,0.294,0.404
саж,soot,сажа,0.375,0.328,0.292
второкурсник,sophomore,второкурсник,0.653,0.415,0.427
сопра,soprano,сопрано,0.552,0.550,0.685
колдун,sorcerer,колдун,0.377,0.633,0.632
soready,soready,soready,0.622,0.500,0.545
тяжк,sorely,тяжко,0.284,0.727,0.370
сорг,sorghum,сорго,0.469,0.358,0.420
женское обществ,sorority,женское общество,0.635,0.637,0.627
сортировк,sorting,сортировка,0.469,0.400,0.642
так напуга,soscared,так напуган,0.229,0.652,0.319
так страшн,soscary,так страшно,0.301,0.660,0.414
так медлен,soslow,так медленно,0.347,0.312,0.284
так м,sosweet,так мило,0.755,0.354,0.417
душевн,soulful,душевный,0.755,0.331,0.500
бездушн,soulless,бездушный,0.125,0.591,0.400
родственная душ,soulmate,родственная душа,0.890,0.500,0.628
звук,sound,звук,0.765,0.623,0.398
звуча,sounding,звучащий,0.690,0.500,0.558
прочност,soundness,прочность,0.780,0.377,0.893
звуконепроница,soundproof,звуконепроницаемый,0.490,0.390,0.409
звуковая дорожк,soundtrack,звуковая дорожка,0.630,0.559,0.518
суп,soup,суп,0.602,0.245,0.269
кисл,sour,кислый,0.276,0.594,0.373
источник,source,источник,0.740,0.318,0.684
ворчун,sourpuss,ворчун,0.188,0.620,0.382
юг,south,юг,0.562,0.265,0.429
направляющийся на юг,southbound,направляющийся на юг,0.510,0.370,0.395
юго-восток,southeast,юго-восток,0.510,0.283,0.413
южн,southern,южный,0.552,0.269,0.370
к юго-запад,southwest,к юго-западу,0.406,0.314,0.355
суверен,sovereign,суверенная,0.698,0.500,0.885
суверенитет,sovereignty,суверенитет,0.719,0.529,0.886
советск,soviet,советский,0.347,0.580,0.536
свиноматк,sow,свиноматка,0.667,0.430,0.446
со,soy,соя,0.438,0.250,0.286
соевый соус,soy sauce,соевый соус,0.573,0.382,0.318
спа,spa,спа,0.622,0.151,0.386
пространств,space,пространство,0.800,0.317,0.573
космический корабл,spacecraft,космический корабль,0.646,0.698,0.680
астронавт,spaceman,астронавт,0.688,0.577,0.848
просторн,spacious,просторный,0.880,0.365,0.557
спагетт,spaghetti,спагетти,0.729,0.353,0.288
спам,spam,спам,0.188,0.354,0.304
спамер,spammers,спамеры,0.354,0.500,0.418
спандекс,spandex,спандекс,0.429,0.520,0.429
спаниел,spaniel,спаниель,0.561,0.435,0.385
шлепок,spank,шлепок,0.112,0.882,0.642
трепк,spanking,трепка,0.194,0.736,0.392
лонжерон,spar,лонжерон,0.417,0.438,0.536
запасн,spare,запасной,0.552,0.398,0.411
свиные ребрышк,spareribs,свиные ребрышки,0.635,0.431,0.395
искр,spark,искра,0.688,0.745,0.529
спарринг,sparring,спарринг,0.292,0.870,0.704
вороб,sparrow,воробей,0.583,0.460,0.327
спазм,spasm,спазм,0.194,0.594,0.366
спастическ,spastic,спастический,0.240,0.541,0.491
размолвк,spat,размолвка,0.427,0.413,0.309
пространствен,spatial,пространственный,0.604,0.625,0.645
брызга,spatter,брызгать,0.292,0.630,0.315
шпател,spatula,шпатель,0.302,0.198,0.369
Spaz,spaz,Spaz,0.443,0.500,0.268
говор,speak,говорить,0.765,0.472,0.500
громкая связ,speakerphone,громкая связь,0.531,0.569,0.560
говоря,speaking,Говорящий,0.753,0.590,0.575
спекуляц,spec,спекуляция,0.583,0.426,0.691
специалист,specialist,специалист,0.760,0.562,0.877
специальн,speciality,специальность,0.854,0.470,0.885
вид,species,вид,0.561,0.330,0.645
спецификац,specification,Спецификация,0.552,0.479,0.602
пятнышк,speck,пятнышко,0.418,0.245,0.343
зрелищ,spectacle,зрелище,0.812,0.745,0.762
зрител,spectator,зритель,0.694,0.560,0.667
спектральн,spectral,спектральный,0.430,0.667,0.500
спектрометр,spectrometer,спектрометр,0.500,0.452,0.490
спектрофотометр,spectrophotometer,спектрофотометр,0.500,0.484,0.500
спектроскоп,spectroscopy,спектроскопия,0.470,0.541,0.570
спектр,spectrum,спектр,0.312,0.700,0.527
спекулирова,speculate,спекулировать,0.398,0.602,0.553
умозрительн,speculative,умозрительный,0.276,0.591,0.464
расширител,speculum,расширитель,0.417,0.469,0.433
безмолвн,speechless,безмолвный,0.459,0.320,0.315
скорост,speed,скорость,0.719,0.849,0.658
